PROGRAM,ALTNAME,CONT,CUSTOMER,LAUNCHER,AWDATE,year,$/kg,AWDDATE,LADATE,LAUDATE,DEV,CONDAT,CONDATE,PLAN,NUM,PRIC,INC,TSAT,EACH,GROUNDSTAT,LAUNCH,INSUR,FIN,AWARD,CONTR,GTOMA,DRYMAS,EOLPO,ORBIT,GEO_SLOT,UHF_XPOND,L_XPOND,S_XPOND,C_XPOND,X_XPOND,KU_XPOND,KA_XPOND,TYPEPAYLOD,COVERAGE,LIFE,SER,CONFIG,REFERENCE,REFERENCE2
Insat 1D,,FACC,India DOS,Delta 3920,86 Jul,1986,"$124,000",07/15/86,90 Jun,06/12/90,47 ,90 Jun,06/15/90,47 ,1 ,$62,,$62,$62,,,,,$62,FFP,"1,155",500,975,GEO,68.5ºE,1,,2,12,,,,12C/2S/1U,India,7.0,FS-781,3-axis,,
ANIK E,,SPAR,Telesat,Titan-Aria,86 Jun,1986,"$48,268",06/15/86,91 Mar,04/04/91,58 ,89 Sep,09/15/89,39 ,2 ,$154,$15,$169,$85,,$115,$42,,$326,FFP,"2,970","1,761","3,500",GEO,91.3ºE,,,,24,,16,,16-Ku24-C,Canada,12.0,RCA-5000,3-axis,,
ANIK E bus,,RCA,SPAR,Ariane,86 Jun,1986,"$33,696",06/15/86,89 Dec,12/15/89,42 ,89 Dec,12/15/89,42 ,2 ,$62,,$62,$31,,,,,$62,FFP,"2,900",920,"3,500",GEO,,,,,,,,,bus only,Canada,12.0,RCA-5000,3-axis,,
TVSat 2,,Eurosate,BMFT,Ariane 3,86 Jun,1986,"$67,273",06/15/86,89 Aug,08/08/89,38 ,89 Mar,03/15/89,33 ,1 ,$74,,$74,$74,,,,,$74,FFP,"2,125","1,100","3,060",GEO,,,,,,,3,,3-Ku 260W,Germany,7.0,SB-300B,3-axis,,
Satcom K3,,RCA,HBO Americ,Ariane,86 Mar,1986,"$53,248",03/15/86,Sold,,,N/A,,,1 ,$45,$5,$50,$50,,,,,$50,FFP,"2,270",939,"2,900",GEO,,,,,,,16,,16-Ku 60W,USA,10.0,RCA-5000,3-axis,,
Eutelsat 2,,AS,Eutelsat,Ariane,86 May,1986,"$98,093",05/15/86,90 Aug,08/30/90,52 ,89 Aug,08/15/89,39 ,3 ,$180,$37,$217,$72,,,,,$217,FFP,"1,850",734,"2,890",GEO,97.8ºE,,,,,,16,,16 Ku,Europe,7.0,SB-100B,3-axis,,
Exprestar,,RCA,Fed Expres,Ariane,86 neg,1986,"$64,683",,Cancel,,,N/A,,,2 ,$135,$15,$150,$50,,,,,$150,FFP,"1,935",773,"2,440",GEO,,,,,,,16,,16-Ku 50W,,10.0,RCA-5000,3-axis,,
OMV,,TRW,NASAMSFC,STS,86 Nov,1986,"$72,592",11/15/86,Cancel,,,N/A,,,1 ,$185,$20,$205,$205,,,,,$205,CPAF,,"2,824",,GEO,,,,,,,,,Transport,,,,3-axis,,
Adv Comm,,RCA,Adv Commun,Ariane,86 Oct,1986,"$59,055",10/15/86,Delayd,,,N/A,,,2 ,$135,$15,$150,$75,$35,$15,,,$200,,"2,500","1,270","4,300",GEO,,,,,,,16,,16-125WKu,,,RCA-5000,3-axis,,
HS-601,,HAC,HAC,None,87 Aug,1987,"$53,125",08/15/87,N/A,,,N/A,,,1 ,$85,,$85,$85,,,,,$85,CP,,"1,600","6,000",GEO,,,,,,,,,VARIOUS,,15.0,HS-601,3-axis,,
Telecom 2,,Matra,NTO-France,Ariane,87 Dec,1987,"$168,149",12/15/87,91 Dec,12/16/91,48 ,91 Dec,12/15/91,48 ,3 ,,,$566,$189,,,,,$566,FP E,"2,270","1,124","3,143",GEO,3.1ºE,,,,10,6,11,,10C/6X/11Ku,France,11.0,ES-2000,3-axis,,
NATO IV,,BADG,NATO,Delta 6925,87 Jan,1987,"$97,710",01/15/87,91 Jan,01/14/91,48 ,90 Jun,06/15/90,41 ,2 ,,,$127,$64,,,,,$127,FFP,"1,430",655,"1,200",GEO,,2,,,,,,3,2UHF/3SHF,,7.0,ECS,3-axis,,
TDRSS F7,,TRW,NASA GSFC,STS/IUS,87 Jul,1987,"$153,280",07/15/87,95 Jul,07/13/95,96 ,92 Nov,11/15/92,64 ,1 ,$204,$25,$229,$229,,,,,$229,CPAF,"2,225","1,494","1,828",GEO,151ºW,,,3,,,6,,3S/6Ku,,10.0,,3-axis,,
Marco Polo,"BSB, Sirius",HAC,BSkyB,Ariane,87 Jun,1987,"$110,000",06/15/87,89 Aug,08/27/89,26 ,89 Aug,08/15/89,26 ,2 ,$95,$15,$110,$55,,$100,$40,$54,$304,FFP,"1,255",500,800,GEO,,,,,,,3,,3 Ku band,,10.0,HS-376,spinner,,
GM-1,,HAC,HCI,Titan,87 Mar,1987,"$39,432",03/15/87,Cancel,,,91 Mar,03/15/91,48 ,2 ,$100,,$100,$50,,,,,$100,COST,"2,500","1,268","3,300",GEO,,,,,,,16,,16-Ku,USA,10.0,HS-601,3-axis,,
Celestar,,RCA,McCaw,STS,87 Nov,1987,"$50,891",11/15/87,TBD,,,91 Nov,11/15/91,48 ,3 ,$150,$30,$180,$60,$13,$99,,,$382,FFP,"2,818","1,179","2,870",GEO,,,,,,,10,,102 Ku 7W,,10.0,RCA-5000,3-axis,,
Geostar I,,GE,GEOSTAR,Ariane,87 Sep,1987,"$87,719",09/15/87,Cancel,,,91 Oct,10/15/91,49 ,2 ,$100,,$100,$50,,,,,$100,FFP,"1,270",570,,GEO,,,,,,,,,L Radio Determ,,10.0,RCA-3000,3-axis,,
Asiasat 1,,HAC,Asiasat,LM-3,88 Apr,1988,"$100,000",04/15/88,90 Apr,04/07/90,24 ,90 Apr,04/15/90,24 ,1 ,$63,$7,$70,$70,,$30,$19,,$120,FFP,"1,442",700,692,GEO,246.2ºE,,,,24,,,,24-C band,E Asia Pacific,10.0,HS-376,spinner,,
INM 2 F4,Inmarsat,BADG,Inmarsat,ArianDelta,88 Apr,1988,"$113,597",04/15/88,92 Apr,04/15/92,48 ,92 Dec,12/15/92,56 ,1 ,$51,$15,$66,$66,,,,,$66,FFP,"1,300",581,"1,000",GEO,109ºE,,1,,1,,,,1C/IL,Global,10.0,ES-1000,3-axis,,
UHF FOS,,HAC,US Navy,MLV2/STS,88 Aug,1988,"$174,797",08/15/88,93 Mar,03/25/93,55 ,92 Aug,08/15/92,48 ,1 ,$172,,$172,$172,,$31,,,$203,FFP,"2,847",984,"2,531",GEO,,39,,,,,,,39 UHF,,14.0,HS-601,3-axis,,
UHFO 02-10,,HAC,US Navy,MLV2/STS,88 Aug,1988,"$136,179",08/15/88,93 Sep,09/03/93,61 ,N/A,,,9 ,"$1,204",,"$1,204",$134,,$398,,,"$1,602",FFP,"2,866",984,"2,531",GEO,,39,,,,,,,39 UHF,,14.0,HS-601,3-axis,,
Macsat,,DSI,DARPA,Scout,88 Dec,1988,"$76,923",12/15/88,90 May,05/09/90,17 ,90 May,05/15/90,17 ,2 ,$9,,$9,$5,,,,,$9,FFP,68,65,14,LEO,,,,,,,,,StoreFwd,,2.0,,3-axis,,
Optus B,Aussat B,HAC,Optus Co,LM-2E,88 Jun,1988,"$66,767",06/15/88,92 Aug,08/13/92,50 ,92 Jun,06/15/92,48 ,2 ,$142,$36,$178,$89,$10,$80,$46,$42,$356,FFP,"2,695","1,333","3,200",GEO,,,1,,,,15,,15-Ku/1L,Australia New Zealand,13.0,HS-601,3-axis,,
INT 701,,FACC,INTELSAT,AII/AR4,88 Oct,1988,"$72,414",10/15/88,93 Oct,10/22/93,60 ,92 Jun,06/15/92,44 ,5 ,$394,$131,$525,$105,,,,,$525,FFP,"3,770","1,450","3,869",GEO,180.0ºE,,,,26,,10,,26C/10Ku,Transoceanic Global,10.0,FS-1300,3-axis,,
Astra 1B,,GEAS,SES Lux,Ariane,89 Aug,1989,"$62,833",08/15/89,91 Mar,03/02/91,19 ,90 Nov,11/15/90,15 ,1 ,$54,$5,$59,$59,,,,,$59,FFP,"2,270",939,"2,900",GEO,,,,,,,16,,16-Ku 60W,Europe,14.7,GE-5000,3-axis,,
Hispasat 1AB,,Matra,Spain,Ariane,89 Dec,1989,"$54,717",12/15/89,92 Sep,09/10/92,33 ,92 Oct,10/15/92,34 ,3 ,$157,$18,$175,$58,$19,,$53,,$247,FFP,"2,120","1,060","3,790",GEO,,,,,,4,14,,14 Ku/4 X,Spain,10.0,ES-2000,3-axis,,
BS-2X,,GEAS,NHK,Ariane,89 Jan,1989,"$166,038",01/15/89,90 Mar,02/22/90,13 ,90 Feb,02/15/90,13 ,1 ,$80,$8,$88,$88,,,,,$88,FFP,"1,250",530,"1,910",GEO,,,,,,,3,,3 Ku DBS,Japan,7.0,GE-4000,3-axis,,
Chandra,AXAF,TRW,NASAMSFC,STS,89 Jan,1989,"$51,268",01/15/89,99 Jul,07/23/99,126 ,95 Jul,07/15/95,78 ,1 ,$509,$61,$570,$570,,,,,$570,CPAF,,"11,118","5,677",LEO,,,,,,,,,SCIENCE,,15.0,,3-axis,,
Orion 1,Telstar 11,BAe,OrionSat,Atlas 2A,89 Jul,1989,"$71,490",07/15/89,94 Nov,11/29/94,64 ,92 Jul,07/15/92,36 ,2 ,$152,$15,$167,$83,$20,$120,$54,,$361,FFP,"2,361","1,161","3,400",GEO,,,,,,,34,,34Ku band,Transoceanic,12.0,ES-2000,3-axis,,
Telstar 4,,GEAS,ATT,Ariane,89 Jul,1989,"$44,360",07/15/89,93 Dec,12/15/93,53 ,93 Mar,03/15/93,44 ,3 ,$190,$19,$209,$70,$7,,,,$216,FFP,"3,495","1,578","5,972",GEO,,,,,24,,20,,24-C/20Ku,USA,12.0,GE-7000,3-axis,,
GPS II-2,,GEAS,USAF,Atlas 1,89 Jun,1989,"$41,716",06/15/89,95,,,95,,,26 ,$916,,$916,$35,,,,,$916,FPIA,"1,550",839,900,MEO,,,,,,,,,Radiolocation,Global,10.0,,3-axis,,
Locstar,,Matra,LOCSTAR,Ariane,89 Jun,1989,"$100,000",06/15/89,Cancel,,,92 Mar,03/15/92,33 ,2 ,$135,$15,$150,$75,,,,,$150,FFP,"1,500",750,"1,579",GEO,,,,,,,,,L Band,,12.0,ES-1000,3-axis,,
Amos 1,,IAI,ISpacAgenc,Ariane 4,89 Nov,1989,"$263,514",11/15/89,96 May,05/16/96,78 ,95 Nov,11/15/95,72 ,1 ,$107,$10,$117,$117,,$55,$34,,$206,FFP,"1,007",444,"1,230",GEO,1.5ºW,,,,,,7,,7 Ku,Mid East,10.0,,,,
Satcom HY,,GEAS,GE Americom,Titan Aria,89 Nov,1989,"$131,579",11/15/89,93 Aug,08/15/93,45 ,93 Aug,08/15/93,45 ,1 ,$150,,$150,$150,$4,$70,$82,,$306,COST,"2,530","1,140","2,962",GEO,,,,,24,,24,,24C/24Ku,USA,10.0,RCA-5000,3-axis,,
Satcom K4,,GEAS,Americom,Ariane,89 Nov,1989,"$69,745",11/15/89,Sold,,,90 Oct,10/15/90,11 ,1 ,$71,,$71,$71,$4,$70,$53,,$198,COST,"2,279","1,018","2,962",GEO,,,,,,,16,,16-Ku 60W,USA,10.0,RCA-5000,3-axis,,
INT K,,GEAS,INTELSAT,Atlas 2A,89 Oct,1989,"$72,857",10/15/89,92 Jun,06/10/92,32 ,91 Jan,01/15/91,15 ,1 ,$87,$15,$102,$102,,,,,$87,FFP,"2,830","1,400","4,005",GEO,,,,,,,16,,16-Ku 60W,,10.0,GE-5000,3-axis,,
Italsat 2,,Alenia,Italy,Ariane 4,90,1990,"$144,806",03/15/91,96 Aug,08/08/96,65 ,95 Jul,07/15/95,,1 ,$138,,$138,$138,,,,,$138,FFP,"1,950",953,"1,760",GEO,,,4,,,,1,9,4L/1Ku/9Ka,Italy,5.0,,3-axis,,
AMSC,Motient,HAC,AMSC MSV,Atlas II,90 Dec,1990,"$88,976",12/15/90,95 Apr,04/07/95,52 ,94 Mar,03/15/94,39 ,1 ,$103,$10,$113,$113,,,,,$113,FFP,"2,714","1,270","3,150",GEO,101.3ºW,,6,,,,1,,6-L/1-Ku,,12.0,HS-601,3-axis,,
Astra 1CD,,HAC,SES Lux,Ariane,90 Dec,1990,"$49,254",12/15/90,93 May,05/12/93,29 ,93 Mar,03/15/93,27 ,2 ,$120,$12,$132,$66,,,,,$132,FFP,"2,940","1,340","3,500",GEO,2.0ºE,,,,,,18,,18-Ku 63W,Europe,12.7,HS-601,3-axis,,
INM 3,Inmarsat,GE,Inmarsat,AII/A4/S,90 Dec,1990,"$102,326",12/15/90,96 Apr,04/03/96,64 ,94 Jul,07/15/94,43 ,4 ,$318,$32,$350,$88,,,,,$350,FFP,"2,068",860,"2,800",GEO,65.5ºE,,6,,2,,,,"15.5ºE,178ºE,54ºW L-Band",Global,13.0,GE-4000,3-axis,,
INT 707,,SS/L,INTELSAT,AR4/LM,90 Dec,1990,"$75,151",12/15/90,96 Mar,03/14/96,63 ,94 Mar,03/15/94,39 ,2 ,$220,$55,$275,$137,,,,,$275,FFP,"4,643","1,823","5,326",GEO,53ºW,,,,26,,15,,26C/15Ku,Transoceanic Global,12.4,FS-1300,3-axis,,
MSAT,,SPAR,TMI,Ariane 4,90 Dec,1990,"$92,245",12/15/90,96 Apr,04/20/96,64 ,94 Mar,03/15/94,39 ,1 ,$103,$10,$113,$113,,,,,$113,FFP,"2,500","1,225","3,150",GEO,106.5ºW,,6,,,,1,,6 L/1-Ku,,12.0,HS-601,3-axis,,
Turksat 1,,AS,Turk. P&T,Ariane4,90 Dec,1990,"$76,053",12/15/90,94 Jan,01/24/94,37 ,93 Oct,10/15/93,34 ,2 ,$140,$9,$149,$74,,$111,$41,,$301,FFP,"1,770",973,"2,900",GEO,31.0ºE,,,,,,16,,16 Ku,Turkey,7.0,SB-200,3-axis,,
Superbird B,2BR,SS/L,SCC,Ariane,90 Mar,1990,"$78,125",03/15/90,92 Feb,02/26/92,23 ,91 Nov,11/15/91,20 ,1 ,$90,$10,$100,$100,,,,,$100,FFP,"2,560","1,280","3,300",GEO,,,,,,,23,3,23Ku/3Ka,Japan,10.0,FS-1300,3-axis,,
Afristar 1,WorldSpace,DSI,Afrispace,Taurus,90 Nov,1990,"$57,416",11/15/90,Cancel,10/28/98,95 ,93 May,05/15/93,30 ,1 ,$24,,$24,$24,,$16,,,$40,FFP,799,418,804,GEO,21.0ºE,,3,,,,,,3 L Band,Africa,7.0,Eagle600,3-axis,,
Indostar 1,Cakrawarta,CTA,MediaCit,Ariane 44L,90 Nov,1990,"$96,774",11/15/90,97 Nov,11/11/97,84 ,96 Dec,12/15/96,73 ,1 ,$50,$10,$60,$60,$22,$55,$23,,$160,FFP,"1,385",620,"3,200",GEO,107.7ºE,,,5,,,,,5 S-band,Indonesia,12.0,Star,3-axis,,
Brazilsat B1,"B-1, B-2",HAC,Embratel,Ariane,90 Oct,1990,"$81,741",10/15/90,94 Aug,08/11/94,46 ,94 Apr,04/15/94,42 ,2 ,$135,$20,$155,$77,$32,$100,,,$287,FFP,"1,750",942,"1,250",GEO,92.0ºW,,,,28,1,,,28-C/1-X,Brazil,12.0,HS-376,spinner,,
ERS-2,,Dornier,ESA,Ariane 4,90 Oct,1990,"$116,588",10/15/90,95 Apr,04/21/95,54 ,95 Apr,04/15/95,54 ,1 ,$246,,$246,$246,,,,,$246,FFP,"2,550","2,110",,GEO,,,,,,,,,Sensors,,,Spot,3-axis,,
ISO,,AS,ESA,Ariane 4,90 Sep,1990,"$118,750",09/15/90,95 Nov,11/17/95,62 ,93 Sep,09/15/93,36 ,1 ,$285,,$285,$285,,,,,$285,FFP,"2,495","2,400",,LEO,,,,,,,,,Infrared,,1.5,,3-axis,,
Radarsat 1,,SPAR,CSA,Delta 2,91 Apr,1991,"$88,032",04/15/91,95 Nov,11/03/95,55 ,95 Jul,07/15/95,51 ,1 ,$222,$20,$242,$242,$36,$108,$66,,$452,FFP,"2,749","2,749","3,000",LEO,,,,,,,,,Radar Imaging,,5.0,,3-axis,,
"PAS 2,3,4",,HAC,PanAmSat,Ariane,91 Aug,1991,"$63,448",08/15/91,94 Jul,07/08/94,35 ,94 Jun,06/15/94,34 ,3 ,$231,$46,$277,$92,$2,$248,,,$527,FFP,"2,914","1,450","4,300",GEO,169.1ºE,,,,16,,16,,16C/16Ku,Europe,12.0,HS-601,3-axis,,
Koreasat 1,Mugunghwa,GEAS,Korea Tele,Delta 2,91 Dec,1991,"$121,685",12/15/91,95 Aug,08/05/95,44 ,94 Dec,12/15/94,36 ,2 ,$145,$12,$157,$78,$25,$130,$55,,$367,FFP,"1,459",641,"1,500",GEO,,,,,,,15,,15Ku Band,S Korea,10.5,GE-3000,3-axis,,
Nstar A/B,,SS/L,NTT,Ariane 4,91 Dec,1991,"$63,415",12/15/91,95 Aug,08/29/95,44 ,95 Apr,04/15/95,40 ,2 ,$200,$60,$260,$130,$5,$218,$96,,$579,FFP,"3,410","2,050","5,200",GEO,132ºE,,,4,6,,8,11,136ºE 11Ka8Ku6C4S,Japan,10.0,FS-1300,3-axis,,
STEP 1,Step 0,TRW,USAF,Pegasus,91 Dec,1991,"$17,241",12/15/91,94 Mar,03/13/94,27 ,94 Jun,06/15/94,30 ,1 ,$6,,$6,$6,,,,,$6,FFP,348,348,195,LEO,,,,,,,,,Experiment,,1.0,Eagle600,3-axis,,
Palapa B4,,HAC,PT Telkom,Delta,91 Jan,1991,"$148,776",01/15/91,92 May,05/14/92,16 ,92 Mar,03/15/92,14 ,1 ,$66,$13,$79,$79,,,,,$79,FFP,"1,246",531,"1,065",GEO,,,,,24,,,,24-C Band,Indonesia,8.0,HS-376,spinner,,
DirecTV 1,DeathStar,HAC,DirecTV,Ariane 4,91 Jun,1991,"$107,228",06/15/91,93 Dec,12/15/93,30 ,93 Dec,12/15/93,30 ,2 ,$224,$45,$269,$135,$15,$140,$74,,$498,FFP,"2,860","1,259","4,300",GEO,151ºW,,,,,,16,,16Ku 120W,USA,12.0,HS-601,3-axis,,
Thaicom 1,Thaicom 1A,HAC,Shinawat,Ariane,91 Jun,1991,"$122,549",06/15/91,93 Dec,12/15/93,30 ,94 Feb,02/15/94,32 ,2 ,$83,$17,$100,$50,,$65,$33,,$198,FFP,"1,080",408,670,GEO,120.0ºE,,,,10,,2,,10C/2Ku,Thailand,13.5,HS-376,spinner,,
SeaStar,,OSC,NASA,Pegasus,91 Mar,1991,"$84,559",03/15/91,93 Oct,08/01/97,77 ,93 Oct,10/15/93,31 ,1 ,$23,,$23,$23,$2,$10,$6,$2,$43,Serv,272,272,,LEO,,,,,,,,,Seawifs,,5.0,,3-axis,,
Solidaridad,,HAC,Mexico,Ariane,91 Mar,1991,"$57,935",03/15/91,93 Nov,11/19/93,32 ,93 Nov,11/15/93,32 ,2 ,$153,$31,$184,$92,,,,,$184,FPI,"2,740","1,588","2,500",GEO,114.9ºW,,1,,18,,12,,12Ku18C1L,Mexico,12.0,HS-601,3-axis,,
"Measat 1,2",Africasat-1,HAC,Bina Riang,Ariane,91 Nov,1991,"$164,537",11/15/91,96 Jan,01/12/96,50 ,94 Nov,11/15/94,36 ,2 ,$206,$25,$206,$103,$35,$80,$50,,$380,FFP,"1,450",626,"1,326",GEO,46.0ºE,,,,12,,6,,12C/6Ku,Indochina,12.0,HS-376HP,spinner,,
Cerise,,Alcatel,France,Ariane,92 Feb,1992,"$260,000",02/15/92,95 Jul,07/07/95,41 ,94 Jun,06/15/94,28 ,1 ,$13,,$13,$13,,,,,$13,,50,50,,LEO,,,,,,,,,Elint,,2.5,,,,
Sedsat 1,,UofA,NASA,STS,92 Feb,1992,"$25,000",02/15/92,98 Oct,10/24/98,80 ,93 Dec,12/15/93,22 ,1 ,$1,,$1,$1,,$1,,,$2,,40,40,,LEO,,,,,,,,,,,,,,,
STEP 3,Step 1,TRW,USAF,Pegasus XL,92 Mar,1992,"$66,832",03/15/92,95 Jun,05/19/94,26 ,93 Dec,12/15/93,21 ,1 ,$27,,$27,$27,,,,,$27,CP,,404,195,LEO,,,,,,,,,SIDEX,,1.0,Eagle600,3-axis,,
Apstar 1,,HAC,APT Sat,LM-3A,92 May,1992,"$131,059",05/15/92,94 Jul,07/21/94,26 ,94 Jul,07/15/94,26 ,1 ,,,$73,$73,,$39,$18,,$130,FFP,"1,197",557,"1,070",GEO,138ºE,,,,24,,,,24 C-band,China E Asia,10.0,HS-376,spinner,,
Asiasat 2,,GEAS,Asiasat,LM-2F,92 May,1992,"$61,798",05/15/92,95 Nov,11/28/95,42 ,94 Jul,07/15/94,26 ,1 ,$88,$22,$110,$110,,$41,$27,,$178,FFP,"3,460","1,780","7,100",GEO,100.5ºE,,,,24,,9,,24C/9Ku,E Asia Pacific,13.0,GE-7000,3-axis,,
Sajac,,HAC,Sat Japan,Merged,92 May,1992,"$62,222",05/15/92,,,,94 Jun,06/15/94,25 ,2 ,$202,$22,$224,$112,,$140,$57,$47,$468,FFP,"2,914","1,800",,GEO,,,,,,,,,,,,HS-601,3-axis,,
Astra 1E,Astra 4A,HAC,SES Lux,Ariane,92 Oct,1992,"$71,482",10/15/92,95 Oct,10/19/95,36 ,95 Mar,03/15/95,29 ,1 ,$80,$16,$96,$96,,,,,$96,FFP,"3,004","1,343","4,200",GEO,23.5ºE,,,,,,18,,18Ku 85W,Europe,14.0,HS-601,3-axis,,
EchoStar 1,,GEAS,Echosphe,LM-2E,92 Oct,1992,"$57,333",10/15/92,95 Dec,12/28/95,38 ,95 Oct,10/15/95,36 ,7 ,$540,$60,$600,$86,,,,,$600,FFP,"3,093","1,500","5,000",GEO,148.1ºW,,,,,,16,,16Ku 120W,USA,12.0,GE-7000,3-axis,,
GE 01,AMC-1,Martin,GE Americom,Atlas 2A,92 Oct,1992,"$54,688",10/15/92,96 Sep,09/08/96,47 ,96 Jan,01/15/96,39 ,1 ,,,$70,$70,,,,,$70,FFP,"2,783","1,280","6,500",GEO,103.0ºW,,,,24,,24,,24C/24Ku,USA,15.0,A-2100,3-axis,,
BS-3N,,GEAS,"NHK, JSB",Ariane 44L,92 Sep,1992,"$134,454",09/15/92,94 Jul,07/08/94,22 ,94 May,05/15/94,20 ,1 ,$80,,$80,$80,,$60,,,$140,FFP,"1,113",595,"1,500",GEO,109.8ºE,,,,,,3,,3Ku,Japan,7.0,GE-3000,3-axis,,
Europsat 1,,Matra,Eutelsat,Ariane,92 Sep,1992,"$53,333",09/15/92,Cancel,,,N/A,,,1 ,$88,,$88,$88,$20,$80,,,$188,FFP,"3,000","1,650","4,000",GEO,031ºE,,,,,,14,,14Ku 110W,Europe,12.0,ES-2000,3-axis,,
Geosat F/O,,Ball,US Navy,Pegasus,92 Sep,1992,"$88,136",09/15/92,95 Dec,12/15/95,39 ,95 Dec,12/15/95,39 ,3 ,$79,,$79,$26,,$36,,,$115,,,295,,LEO,,,,,,,,,Altimeter,,8.0,,,,
INT 709,,SS/L,INTELSAT,LMarch,92 Sep,1992,"$76,796",09/15/92,96 Jun,06/15/96,45 ,95 Mar,03/15/95,30 ,1 ,$105,$35,$140,$140,,,,,$140,FFP,"4,623","1,823","5,326",GEO,85.2ºE,,,,26,,15,,26C/15Ku,Transoceanic Global Mid E,12.4,FS-1300,3-axis,,
INT 801,,GEAS,INTELSAT,Ariane 4,92 Sep,1992,"$51,843",09/15/92,97 Mar,03/01/97,53 ,95 Nov,11/15/95,38 ,2 ,$150,$15,$165,$83,,,,,$165,FFP,"3,447","1,601","5,100",GEO,31.5ºW,,,,38,,6,,38C/6Ku,Transoceanic Global Europ,16.0,GE-7000,3-axis,,
Apstar 2,,HAC,APT Sat,LM-2E,93 Apr,1993,"$142,857",04/15/93,95 Jan,01/25/95,21 ,94 Dec,12/15/94,20 ,1 ,$80,$20,$100,$100,,$60,$22,,$182,FFP,"1,410",700,"1,070",GEO,,,,,26,,8,,26C52W/8Ku50W+,China E Asia,15.0,HS-601,3-axis,,
Arabsat 2,,AS,Arabsat,Ariane,93 Apr,1993,"$67,200",04/15/93,96 Jul,07/09/96,39 ,95 Jun,06/15/95,26 ,2 ,$147,$20,$167,$84,,$70,$21,,$258,FFP,"2,519","1,250","5,000",GEO,30.5ºE,,,,22,,12,,12Ku/22C,Mid East N Africa,12.0,SB-3000,3-axis,,
Palapa C,,HAC,Satelindo,Atlas,93 Apr,1993,"$45,070",04/15/93,96 Feb,02/01/96,34 ,96 Jul,07/15/96,39 ,2 ,,,$128,$64,,,,,$128,FFP,"2,989","1,420","3,400",GEO,113.0ºE,,,,30,1,4,,30C/X/4Ku,Indonesia,12.0,HS-601,3-axis,,
BSat 1A/B,,HAC,"NHK, JSB",Ariane 44L,93 Dec,1993,"$162,000",12/15/93,97 Apr,04/16/97,40 ,97 Apr,04/15/97,40 ,2 ,$156,$16,$172,$81,,,,,$172,FFP,"1,250",500,990,GEO,110.0ºE,,,,,,4,,4Ku 106W,Japan,10.0,HS-376,spinner,,
Nahuel 1A,,DASA,NTC Arge,Ariane 44L,93 Jan,1993,"$171,662",01/15/93,97 Jan,01/30/97,48 ,96 Sep,09/15/96,44 ,1 ,$114,$12,$126,$126,$20,$66,$38,,$250,FFP,"1,790",734,"3,200",GEO,91.4ºE,,,,,,18,,18 Ku 55W,Argentina Brazil,12.0,SB-200,3-axis,,
Optus B3,Aussat B3,HAC,Optus,LM 2E,93 Jan,1993,"$37,927",01/15/93,94 Aug,08/27/94,19 ,94 Aug,08/15/94,19 ,1 ,,,$60,$60,,,,,$60,FFP,"2,858","1,582","2,500",GEO,164ºE,,1,,,,15,,15 Ku/1L,Australia New Zealand,13.7,HS 601,3-axis,,
Astra 1F,,HAC,SES Lux,Proton,93 Jul,1993,"$81,906",07/15/93,96 Apr,04/08/96,33 ,96 Jul,07/15/96,36 ,1 ,,,$110,$110,,,,,$110,FFP,"3,000","1,343","4,700",GEO,19.2ºE,,,,,,20,,20Ku 82W,Europe,15.0,HS-601,3-axis,,
Iridium,,Motorola,Iridium,DII/AR4,93 Jul,1993,"$57,003",07/15/93,97 May,05/05/97,46 ,94 Jul,07/15/94,12 ,66 ,"$2,286",,"$2,286",$35,$229,$400,$485,$444,"$3,844",FFP,694,614,590,LEO,,,48,,,,,7,48-L/7-Ka,Global,5.0,,3-axis,,
Orbcomm,,OSC,OSCTeleglo,Pegasus XL,93 Jul,1993,"$93,023",07/26/93,95 Apr,04/03/95,20 ,N/A,,,26 ,,,$91,$4,$8,$40,$24,,$163,FFP,43,43,200,LEO,,,,,,,,,Messaging,Global,5.0,,3-axis,,
Tempo,DirecTV5-6,SS/L,TCI,Atlas 2AS,93 Jul,1993,"$50,562",07/15/93,97 Mar,03/08/97,44 ,96 Sep,09/15/96,38 ,2 ,$164,$16,$180,$90,,$180,$65,,$425,FFP,"3,560","1,780","10,500",GEO,,,,,,,32,,32Ku 100W,USA,12.0,FS-1300,3-axis,,
DirecTV 3,DBS 2,HAC,DirecTV,Ariane,93 Jun,1993,"$57,904",06/15/93,95 Jun,06/10/95,24 ,95 Jun,06/15/95,24 ,1 ,,,$100,$100,,,,,$100,FFP,"2,943","1,727","4,300",GEO,151ºW,,,,,,16,,16 Ku - 120W,USA,12.0,HS 601,3-axis,,
Telecom 2D,,MMS,NTO-France,Ariane,93 Jun,1993,"$153,025",06/15/93,96 Aug,08/08/96,38 ,96 Aug,08/15/96,38 ,1 ,,,$172,$172,,$55,,,$227,FFP,"2,270","1,124","3,143",GEO,8.0ºW,,,,10,6,11,,10C/6X/11Ku,France,10.0,ES-2000,3-axis,,
JCSat 3,JCSAT 3A,HAC,JapanSat,Atlas 2AS,93 Nov,1993,"$97,095",11/15/93,95 Aug,08/29/95,21 ,95 Aug,08/15/95,21 ,1 ,$115,$12,$127,$127,,$85,$38,$25,$275,FFP,"2,982","1,308","4,700",GEO,128.0ºE,,,,,,40,,40-Ku,Japan E Asia,12.0,AX-601,3-axis,,
